,sid,age,AA,EL,RR,video,gender,parent_ed,condition,types,types2,tokens,tokens2,TTR,TTR2,MTLD,MTLD2
40,121316_01,-0.24611872178333302,0.868937389770723,0.15608465608465602,0.205687830687831,give_me_toy,M,-0.53661993482059,con,63,61.0,151,152.0,0.417218543046358,0.40131578947368424,17.5201005025126,14.952272727272728
41,111716_06,0.710045662216667,0.493937389770723,0.5310846560846559,1.4556878306878303,orchestra,M,-1.25211318124804,con,27,27.0,72,72.0,0.375,0.375,16.2,16.2
42,110416_07,-0.278995433783333,-1.25606261022928,0.15608465608465602,-0.7943121693121691,a_recoger,M,0.8943665580343171,con,98,95.0,213,230.0,0.460093896713615,0.41304347826086957,36.514285714285705,16.72637030643073
43,101416_01,-0.40776255678333295,0.368937389770723,0.5310846560846559,-0.29431216931216897,ruidos,F,0.17887331160686298,con,99,96.0,255,262.0,0.388235294117647,0.366412213740458,24.3409090909091,16.152755157437568
44,042416_03,-0.5803652967833329,0.868937389770723,-0.21891534391534398,-1.4193121693121697,a_recoger,M,0.8943665580343171,exp,89,89.0,364,364.0,0.24450549450549397,0.2445054945054945,20.457585247256898,20.457585247256883
45,091316_02,-0.106392693783333,0.368937389770723,0.5310846560846559,0.580687830687831,give_me_toy,F,0.8943665580343171,con,69,67.0,169,177.0,0.408284023668639,0.3785310734463277,32.3304347826087,18.723278936561115
46,012017_01,0.27990867621666604,,,,orchestra,F,-0.53661993482059,exp,71,71.0,195,199.0,0.3641025641025639,0.35678391959798994,22.142929497568897,21.131876783781124
47,050116_01,-0.0378995437833334,-0.506062610229277,-0.343915343915344,-0.419312169312169,classificando,F,-1.25211318124804,exp,81,81.0,207,209.0,0.39130434782608703,0.3875598086124402,22.0352348993289,20.075
48,121516_04,0.726484018216667,-0.25606261022927695,0.5310846560846559,0.0806878306878307,mis_jugetes,F,0.8943665580343171,exp,96,96.0,292,292.0,0.32876712328767105,0.3287671232876712,20.1619047619048,20.16190476190476
49,111716_02,-0.183105022783334,0.868937389770723,0.281084656084656,0.7056878306878309,give_me_toy,F,0.8943665580343171,exp,102,102.0,245,245.0,0.416326530612245,0.4163265306122449,19.045398009950198,19.045398009950247
50,121516_01,0.611415525216667,0.368937389770723,-0.21891534391534398,-0.0443121693121693,orchestra,F,0.8943665580343171,exp,64,64.0,206,206.0,0.31067961165048497,0.3106796116504854,9.586580086580089,9.586580086580087
51,110416_05,0.22511415521666697,-0.25606261022927695,0.15608465608465602,1.3306878306878303,mis_jugetes,F,-0.53661993482059,con,60,60.0,151,151.0,0.397350993377483,0.3973509933774834,11.684523809523801,11.68452380952381
52,120916_03,0.26621004521666697,0.618937389770723,-0.9689153439153442,-0.0443121693121693,orchestra,F,-0.53661993482059,con,96,96.0,173,173.0,0.554913294797688,0.5549132947976878,38.7715723873442,38.7715723873442
53,101416_09,-0.158447488783333,0.868937389770723,0.15608465608465602,-0.0443121693121693,classificando,M,0.8943665580343171,exp,69,69.0,364,364.0,0.18956043956044,0.18956043956043955,16.3741440475208,16.37414404752083
54,120416_02,0.688127854216667,-0.13106261022927698,0.5310846560846559,0.8485449735449742,mis_jugetes,M,-1.25211318124804,exp,43,43.0,263,263.0,0.16349809885931602,0.1634980988593156,10.317692307692301,10.317692307692308
55,110416_04,-0.300913241783333,0.368937389770723,-0.0939153439153442,-0.0443121693121693,a_recoger,F,-1.9676064276754999,con,68,67.0,103,104.0,0.660194174757282,0.6442307692307693,66.91639734130129,51.6890216425693
56,092216_03,-0.17488584478333302,,,,give_me_toy,M,0.8943665580343171,con,75,75.0,179,179.0,0.41899441340782106,0.41899441340782123,21.1319444444444,21.131944444444443
57,042416_02,0.3621004562166671,-0.25606261022927695,-0.21891534391534398,0.8306878306878309,classificando,F,0.8943665580343171,exp,50,50.0,203,203.0,0.246305418719212,0.24630541871921183,10.063404453149001,10.063404453148955
58,101416_04,-0.500913241783333,-0.506062610229277,0.281084656084656,-0.419312169312169,a_recoger,M,0.8943665580343171,exp,51,51.0,116,116.0,0.439655172413793,0.4396551724137931,13.05,13.05
59,091316_03,-0.22146118678333301,0.24393738977072302,0.5310846560846559,0.8306878306878309,classificando,F,0.8943665580343171,con,75,74.0,183,191.0,0.409836065573771,0.387434554973822,28.3295257874697,17.910381157710614
